# Gelleråsen Arena planar centerline, L = 2327.2 m
# from OSM (way["highway"="raceway"](59.33,14.45,59.40,14.55)); (c) OpenStreetMap contributors, ODbL 1.0
# smoothed with a periodic Gaussian, sigma = 6 m; elevation dropped
s_m,x_m,y_m,psi_rad,kappa_1pm
1470.000000,-37.463707,66.173199,-2.885077,-0.000000
1475.000000,-42.300106,64.904643,-2.885078,-0.000000
1480.000000,-47.136507,63.636088,-2.885079,-0.000001
1485.000000,-51.972913,62.367554,-2.885088,-0.000003
1490.000000,-56.809338,61.099096,-2.885112,-0.000007
1495.000000,-61.645807,59.830801,-2.885152,-0.000008
1500.000000,-66.482325,58.562694,-2.885186,-0.000005
1505.000000,-71.318874,57.294707,-2.885201,-0.000002
1510.000000,-76.155434,56.026761,-2.885205,-0.000000
1515.000000,-80.991996,54.758823,-2.885205,-0.000000
1520.000000,-85.828558,53.490885,-2.885205,-0.000000
1525.000000,-90.665121,52.222948,-2.885205,-0.000000
1530.000000,-95.501682,50.955006,-2.885198,0.000005
1535.000000,-100.338187,49.686852,-2.885043,0.000080
1540.000000,-105.174011,48.416101,-2.883587,0.000635
1545.000000,-110.005011,47.127191,-2.875975,0.002659
1550.000000,-114.817787,45.772166,-2.854602,0.005919
1555.000000,-119.588636,44.276969,-2.818840,0.008184
1560.000000,-124.294459,42.588713,-2.772444,0.010732
1565.000000,-128.899575,40.644091,-2.706371,0.015905
1570.000000,-133.337084,38.344417,-2.615083,0.020177
1575.000000,-137.521412,35.612466,-2.511907,0.020593
1580.000000,-141.409778,32.472780,-2.413587,0.018524
1585.000000,-144.987559,28.982662,-2.328024,0.015741
1590.000000,-148.284125,25.225005,-2.253969,0.014318
1595.000000,-151.292218,21.232839,-2.179307,0.015546
1600.000000,-153.994007,17.027260,-2.105211,0.013030
1605.000000,-156.419079,12.655338,-2.058341,0.005817
1610.000000,-158.715658,8.214037,-2.042834,0.000880
1615.000000,-160.985131,3.758761,-2.042268,-0.000287
1620.000000,-163.259241,-0.694150,-2.043586,-0.000182
1625.000000,-165.537580,-5.144900,-2.044085,-0.000041
1630.000000,-167.816947,-9.595123,-2.044176,-0.000004
1635.000000,-170.096455,-14.045274,-2.044183,-0.000000
1640.000000,-172.375972,-18.495420,-2.044183,-0.000000
1645.000000,-174.655489,-22.945567,-2.044183,-0.000000
1650.000000,-176.935006,-27.395713,-2.044183,-0.000000
1655.000000,-179.214522,-31.845860,-2.044183,-0.000000
1660.000000,-181.494039,-36.296006,-2.044188,-0.000005
1665.000000,-183.773802,-40.746026,-2.044406,-0.000117
1670.000000,-186.057000,-45.194284,-2.046708,-0.001074
1675.000000,-188.371269,-49.626394,-2.061881,-0.005589
1680.000000,-190.810814,-53.990291,-2.110483,-0.014488
1685.000000,-193.561397,-58.163320,-2.199500,-0.019639
1690.000000,-196.684370,-62.065505,-2.291625,-0.016265
1695.000000,-200.126933,-65.690073,-2.363530,-0.013360
1700.000000,-203.800886,-69.079931,-2.434994,-0.016224
1705.000000,-207.751989,-72.140331,-2.533992,-0.023125
1710.000000,-212.014659,-74.746521,-2.657122,-0.024802
1715.000000,-216.567694,-76.806228,-2.766796,-0.018829
1720.000000,-221.291727,-78.439537,-2.846090,-0.013068
1725.000000,-226.116180,-79.750140,-2.901570,-0.009559
1730.000000,-230.997673,-80.830040,-2.945508,-0.008164
1735.000000,-235.919737,-81.707613,-2.981797,-0.006097
1740.000000,-240.865736,-82.439554,-3.004671,-0.003079
1745.000000,-245.823270,-83.089609,-3.016287,-0.001929
1750.000000,-250.787023,-83.690354,-3.026600,-0.002297
1755.000000,-255.757511,-84.232412,-3.040079,-0.003181
1760.000000,-260.735953,-84.695156,-3.059895,-0.004846
1765.000000,-265.724101,-85.036542,-3.087258,-0.005852
1770.000000,-270.719911,-85.235614,-3.117187,-0.006247
1775.000000,-275.719468,-85.271239,-3.154010,-0.008800
1780.000000,-280.715384,-85.088053,-3.207635,-0.012830
1785.000000,-285.687873,-84.578001,-3.285049,-0.018357
1790.000000,-290.592379,-83.620357,-3.389524,-0.022732
