# Ring Knutstorp planar centerline, L = 2051.9 m
# from OSM (way(229220546)); (c) OpenStreetMap contributors, ODbL 1.0
# smoothed with a periodic Gaussian, sigma = 6 m; elevation dropped
s_m,x_m,y_m,psi_rad,kappa_1pm
1950.000000,-23.923266,-88.354695,-3.704793,0.000000
1955.000000,-28.151020,-85.685219,-3.704793,-0.000000
1960.000000,-32.378773,-83.015743,-3.704793,-0.000000
1965.000000,-36.606527,-80.346267,-3.704793,-0.000000
1970.000000,-40.834280,-77.676792,-3.704793,-0.000000
1975.000000,-45.062034,-75.007316,-3.704793,0.000000
1980.000000,-49.289787,-72.337840,-3.704793,-0.000000
1985.000000,-53.517541,-69.668365,-3.704793,-0.000000
1990.000000,-57.745287,-66.998877,-3.704806,-0.000007
1995.000000,-61.972875,-64.329140,-3.704982,-0.000082
2000.000000,-66.199201,-61.657405,-3.706084,-0.000430
2005.000000,-70.419038,-58.975440,-3.710140,-0.001197
2010.000000,-74.623485,-56.269430,-3.717576,-0.001681
2015.000000,-78.805560,-53.528970,-3.724950,-0.001174
2020.000000,-82.972219,-50.765112,-3.728900,-0.000414
2025.000000,-87.132386,-47.991484,-3.729951,-0.000077
2030.000000,-91.291316,-45.216002,-3.730118,-0.000006
2035.000000,-95.450092,-42.440289,-3.730129,-0.000000
2040.000000,-99.608860,-39.664565,-3.730130,-0.000000
2045.000000,-103.767627,-36.888837,-3.730132,-0.000001
2050.000000,-107.856652,-34.159628,-3.730142,-0.000003
